2026-05-16 17:10:19 | Counter-Strike 2 | avg=273ms max=316ms jitter=86ms
2026-05-16 17:14:13 | Counter-Strike 2 | avg=112ms max=184ms jitter=143ms
2026-05-16 20:15:23 | Counter-Strike 2 | avg=256ms max=400ms jitter=288ms
2026-05-16 20:23:39 | Counter-Strike 2 | avg=205ms max=332ms jitter=254ms
2026-05-16 20:46:27 | Counter-Strike 2 | 10.66.66.1 | avg=112ms max=170ms jitter=116ms
2026-05-16 20:52:50 | Counter-Strike 2 | 1.1.1.1 | avg=114ms max=188ms jitter=149ms
2026-05-16 21:02:32 | Counter-Strike 2 | 1.1.1.1 | avg=274ms max=442ms jitter=336ms
2026-05-16 21:23:23 | Counter-Strike 2 | VPS | avg=118ms max=171ms jitter=107ms
2026-05-17 09:51:28 | Counter-Strike 2 | VPS | avg=180ms max=180ms jitter=0ms
2026-05-17 09:51:52 | Counter-Strike 2 | VPS | avg=536ms max=544ms jitter=16ms
2026-05-17 09:52:16 | Counter-Strike 2 | VPS | avg=400ms max=746ms jitter=692ms
2026-05-17 13:33:33 | Counter-Strike 2 | VPS | avg=130ms max=191ms jitter=123ms
2026-05-17 15:41:53 | VALORANT | VPS | avg=344ms max=356ms jitter=25ms
2026-05-17 16:14:44 | VALORANT | VPS | avg=106ms max=158ms jitter=105ms
